fastId	X	Y
1	-1362.212	-1876.219
2	-1331.052	-1878.944
3	-1299.892	-1881.668
4	-1268.731	-1884.393
5	-1237.572	-1887.117
6	-1221.118	-1850.445
7	-1250.992	-1847.833
8	-1280.868	-1845.220
9	-1310.742	-1842.606
10	-1340.617	-1839.993
11	-1370.491	-1837.380
12	-1364.230	-1741.376
13	-1333.193	-1744.087
14	-1302.155	-1746.798
15	-1271.117	-1749.508
16	-1240.080	-1752.220
17	-1250.921	-1713.140
18	-1280.701	-1710.537
19	-1310.482	-1707.936
20	-1340.263	-1705.333
21	-1370.046	-1702.730
22	-1335.101	-1609.492
23	-1304.081	-1612.199
24	-1273.059	-1614.906
25	-1242.040	-1617.612
26	-1211.019	-1620.317
27	-1220.205	-1581.369
28	-1249.995	-1578.770
29	-1279.783	-1576.170
30	-1309.573	-1573.570
31	-1339.361	-1570.970
32	-1336.060	-1474.746
33	-1305.072	-1477.330
34	-1274.092	-1480.033
35	-1243.115	-1482.733
36	-1212.136	-1485.433
37	-1219.437	-1446.637
38	-1249.204	-1444.042
39	-1278.971	-1441.447
40	-1308.734	-1438.807
41	-1337.972	-1432.829
42	-1314.808	-1351.571
43	-1285.765	-1347.419
44	-1256.436	-1348.391
45	-1227.172	-1350.939
46	-1197.909	-1353.488
47	-1188.565	-1316.138
48	-1218.564	-1313.525
49	-1248.558	-1310.863
50	-1278.009	-1304.790
51	-1255.252	-1223.436
52	-1226.210	-1219.395
53	-1196.902	-1220.446
54	-1167.658	-1222.991
55	-1138.414	-1225.537
56	-1099.033	-1190.798
57	-1129.005	-1188.191
58	-1158.978	-1185.583
59	-1188.951	-1182.971
60	-1218.476	-1177.419
61	-1187.969	-1094.203
62	-1160.019	-1091.347
63	-1131.959	-1092.925
64	-1103.946	-1095.361
65	-1075.933	-1097.797
66	-1040.926	-1062.686
67	-1070.620	-1060.105
68	-1100.314	-1057.524
69	-1130.004	-1054.913
70	-1159.190	-1049.088
71	-1127.435	-966.055
72	-1098.813	-963.456
73	-1070.119	-965.296
74	-1041.466	-967.785
75	-1012.813	-970.275
76	-979.378	-935.050
77	-1009.607	-932.425
78	-1039.837	-929.799
79	-1070.030	-926.825
80	-1099.415	-919.485
81	-981.300	-840.437
82	-1010.122	-837.934
83	-1038.970	-835.807
84	-1067.810	-837.810
85	-1258.494	-821.236
86	-1226.704	-779.924
87	-1254.030	-778.651
88	-1281.299	-776.278
89	-671.738	-704.688
90	-701.587	-702.656
91	-731.434	-700.625
92	-761.282	-698.593
93	-791.131	-696.561
94	-820.979	-694.528
95	-850.829	-692.495
96	-880.679	-690.462
97	-1880.464	-2204.821
98	-1910.124	-2203.006
99	-1939.744	-2200.404
100	-2596.425	-2049.749
101	-2417.162	-2065.368
102	-2382.085	-2063.187
103	-2346.989	-2066.122
104	-1925.977	-2103.096
105	-1890.894	-2106.175
106	-1856.409	-2113.010
107	-1868.105	-2068.578
108	-1904.280	-2065.402
109	-1940.453	-2062.225
110	-2338.488	-2028.263
111	-2374.521	-2023.943
112	-2564.389	-2006.146
113	-2593.264	-2005.880
114	-2580.681	-1769.410
115	-2544.823	-1772.558
116	-2508.966	-1775.719
117	-1872.653	-1831.528
118	-1837.559	-1834.605
119	-1802.464	-1837.682
120	-1805.526	-1799.285
121	-1840.361	-1796.231
122	-1875.198	-1793.176
123	-2478.958	-1740.201
124	-2514.648	-1737.067
125	-2550.338	-1733.934
126	-2558.806	-1636.718
127	-2522.559	-1639.898
128	-2486.313	-1643.080
129	-1882.070	-1696.065
130	-1846.961	-1699.141
131	-1811.852	-1702.217
132	-1815.352	-1663.765
133	-1850.139	-1660.717
134	-1884.927	-1657.668
135	-2480.681	-1605.419
136	-2514.060	-1602.490
137	-2547.440	-1599.559
138	-2554.374	-1502.730
139	-2520.494	-1505.702
140	-2486.614	-1508.676
141	-1857.282	-1563.837
142	-1822.228	-1566.906
143	-1787.173	-1569.975
144	-1789.684	-1531.600
145	-1824.482	-1528.552
146	-1859.280	-1525.505
147	-2455.777	-1473.219
148	-2489.585	-1470.253
149	-2523.392	-1467.287
150	-2530.517	-1370.090
151	-2496.300	-1373.092
152	-2462.083	-1376.093
153	-1831.896	-1431.302
154	-1796.830	-1434.371
155	-1798.806	-1396.035
156	-1833.612	-1392.989
157	-2466.033	-1337.578
158	-2500.264	-1334.575
159	-2534.497	-1331.573
160	-2498.197	-1240.293
161	-2468.116	-1242.930
162	-2438.036	-1245.567
163	-1842.389	-1297.227
164	-1807.310	-1300.295
165	-1772.232	-1303.362
166	-1774.431	-1265.004
167	-1809.188	-1261.964
168	-1843.946	-1258.924
169	-2437.918	-1206.404
170	-2467.797	-1203.785
171	-2497.677	-1201.166
172	-2489.554	-1107.468
173	-2454.547	-1110.536
174	-2419.541	-1113.603
175	-1818.301	-1166.227
176	-1783.261	-1169.290
177	-1748.221	-1172.352
178	-1749.591	-1134.068
179	-1784.357	-1131.030
180	-1819.125	-1127.990
181	-2423.589	-1075.084
182	-2458.501	-1072.025
183	-2493.413	-1068.966
184	-2505.130	-977.465
185	-2469.531	-976.122
186	-2433.975	-979.214
187	-1794.037	-1035.197
188	-1758.967	-1038.262
189	-1759.717	-1000.044
190	-1794.495	-997.006
191	-2403.244	-943.760
192	-2438.587	-940.666
193	-2473.750	-936.224
194	-2457.544	-850.031
195	-2428.423	-847.192
196	-2399.206	-849.005
197	-2370.031	-851.558
198	-1804.725	-901.035
199	-1769.684	-904.109
200	-1734.641	-907.183
201	-1737.374	-868.815
202	-1772.263	-865.756
203	-1807.153	-862.695
204	-2340.427	-816.036
205	-2369.573	-813.485
206	-2398.722	-810.936
207	-2427.506	-805.941
208	-3772.819	-1940.624
209	-3737.247	-1947.483
210	-3144.746	-1996.416
211	-3115.953	-2003.758
212	-3087.199	-1960.663
213	-3116.638	-1959.858
214	-3707.840	-1906.824
215	-3743.619	-1904.579
216	-3779.351	-1901.423
217	-3764.158	-1665.862
218	-3728.405	-1669.017
219	-3692.651	-1672.170
220	-3082.895	-1725.276
221	-3047.201	-1728.416
222	-3012.093	-1735.232
223	-3018.891	-1692.762
224	-3054.154	-1689.661
225	-3089.417	-1686.558
226	-3698.785	-1632.474
227	-3734.334	-1629.338
228	-3769.884	-1626.201
229	-3742.435	-1533.098
230	-3706.689	-1536.249
231	-3670.943	-1539.401
232	-3062.859	-1592.435
233	-3027.335	-1595.559
234	-2991.812	-1598.683
235	-2999.024	-1559.889
236	-3034.083	-1556.806
237	-3069.142	-1553.724
238	-3676.204	-1499.769
239	-3711.504	-1496.656
240	-3746.805	-1493.543
241	-3755.193	-1397.336
242	-3719.687	-1400.466
243	-3684.182	-1403.595
244	-3042.693	-1459.847
245	-3007.348	-1462.953
246	-2972.004	-1466.059
247	-2978.311	-1427.337
248	-3013.220	-1424.269
249	-3048.129	-1421.200
250	-3652.952	-1367.170
251	-3688.046	-1364.078
252	-3723.140	-1360.985
253	-3057.605	-1323.819
254	-3022.461	-1326.907
255	-2987.317	-1329.994
256	-2957.538	-1294.438
257	-2992.159	-1291.397
258	-3026.780	-1288.355
259	-3034.595	-1193.731
260	-2999.996	-1196.769
261	-2965.395	-1199.806
262	-2969.661	-1159.253
263	-3003.820	-1156.254
264	-3037.979	-1153.254
265	-3643.883	-1007.629
266	-3608.217	-1010.768
267	-3572.551	-1013.905
268	-3016.650	-1061.242
269	-2981.894	-1064.292
270	-2947.136	-1067.342
271	-2951.004	-1028.842
272	-2985.281	-1025.835
273	-3019.561	-1022.827
274	-3585.320	-972.117
275	-3618.712	-969.180
276	-3652.105	-966.241
277	-3444.232	-890.603
278	-3410.564	-893.561
279	-3376.897	-896.520
280	-2994.345	-930.102
281	-2959.519	-933.157
282	-2924.693	-936.211
283	-2929.513	-897.650
284	-2963.594	-894.661
285	-2997.675	-891.673
286	-3362.375	-859.664
287	-3398.650	-856.477
288	-3434.925	-853.290
289	-4914.491	-1843.558
290	-4879.332	-1845.155
291	-4844.237	-1848.270
292	-4388.013	-1888.724
293	-4353.353	-1894.696
294	-4322.120	-1850.810
295	-4357.506	-1848.274
296	-4817.063	-1807.519
297	-4852.414	-1804.381
298	-4887.692	-1800.633
299	-4803.522	-1586.952
300	-4768.245	-1580.827
301	-4732.437	-1582.130
302	-4303.598	-1620.112
303	-4267.862	-1623.273
304	-4232.585	-1629.432
305	-4201.252	-1586.659
306	-4236.680	-1583.857
307	-4272.086	-1580.724
308	-4696.963	-1543.095
309	-4732.369	-1539.957
310	-4767.668	-1535.949
311	-4739.188	-1449.601
312	-4703.651	-1450.736
313	-4668.188	-1453.877
314	-4242.641	-1491.543
315	-4207.178	-1494.677
316	-4212.051	-1451.056
317	-4247.489	-1447.923
318	-4672.750	-1410.279
319	-4708.128	-1406.623
320	-4905.165	-1298.373
321	-4869.784	-1304.469
322	-4254.207	-1355.198
323	-4218.630	-1358.342
324	-4183.052	-1361.485
325	-4187.775	-1318.875
326	-4223.204	-1315.745
327	-4258.633	-1312.614
328	-4872.525	-1258.065
329	-4837.489	-1260.557
330	-4878.444	-1166.189
331	-4843.462	-1169.289
332	-4808.961	-1175.483
333	-4229.996	-1223.568
334	-4194.488	-1226.705
335	-4158.980	-1229.841
336	-4163.756	-1186.220
337	-4199.132	-1183.095
338	-4234.509	-1179.970
339	-4810.630	-1128.993
340	-4844.708	-1125.975
341	-4878.786	-1122.955
342	-6750.230	-2214.226
343	-6715.499	-2217.306
344	-6680.768	-2220.384
345	-6194.514	-2263.539
346	-6159.780	-2266.626
347	-6124.547	-2269.757
348	-6089.815	-2272.845
349	-6055.082	-2275.934
350	-6040.566	-2234.123
351	-6074.622	-2230.233
352	-6255.635	-2214.108
353	-6576.215	-2186.562
354	-6607.989	-2183.745
355	-6639.762	-2180.928
356	-6779.327	-2068.869
357	-6750.466	-2072.171
358	-6699.470	-2074.825
359	-6232.762	-2119.537
360	-6052.547	-2135.951
361	-6016.756	-2136.567
362	-5997.665	-2095.128
363	-6031.388	-2091.166
364	-6214.712	-2075.077
365	-6250.849	-2072.624
366	-6611.779	-2040.594
367	-6743.422	-2028.923
368	-6771.370	-2026.447
369	-6768.272	-1922.117
370	-6567.721	-1940.894
371	-6538.668	-1943.470
372	-6219.094	-1971.837
373	-6190.087	-1974.818
374	-6009.734	-1992.609
375	-5979.473	-1994.640
376	-5677.283	-2021.520
377	-5647.063	-2024.208
378	-5616.933	-2027.612
379	-5617.225	-1875.905
380	-5560.172	-1880.979
381	-5588.698	-1878.441
382	-5531.604	-1882.829
383	-5959.363	-1843.603
384	-6133.358	-1829.550
385	-6162.089	-1827.953
386	-6534.944	-1794.857
387	-6563.624	-1792.314
